"unlist.xx."
"1770436_at"	"YML067C"
"1770437_at"	"YPR015C"
"1770440_at"	"YIL094C"
"1770442_at"	"YIL159W"
"1770443_at"	"YJL085W"
"1770447_s_at"	"YEL076C"
"1770448_at"	"YOR074C"
"1770449_s_at1"	"YER102W"
"1770449_s_at2"	"YBL072C"
"1770450_at"	"YFR032C"
"1770451_at"	"YER183C"
"1770452_at"	"YKL069W"
"1770453_at"	"YKR037C"
"1770455_at"	"YER069W"
"1770456_at"	"YDR001C"
"1770458_at"	"YOR032C"
"1770459_at"	"YNR075W"
"1770460_at"	"YPL097W"
"1770463_at"	"YHR166C"
"1770466_at"	"YGL143C"
"1770478_at"	"YGL095C"
"1770480_at"	"YKR039W"
"1770481_at"	"YNL307C"
"1770483_at"	"YMR280C"
"1770485_at"	"YJL148W"
"1770487_at"	"YLR218C"
"1770488_at"	"YHR158C"
"1770489_at"	"YER040W"
"1770495_at"	"YJR032W"
"1770500_at1"	"YBR084C-A"
"1770500_at2"	"YBL027W"
"1770501_at1"	"YER102W"
"1770501_at2"	"YBL072C"
"1770502_x_at"	"YGL189C"
"1770503_at"	"YCL058C"
"1770506_at"	"YIL162W"
"1770507_at"	"YJL125C"
"1770508_at"	"YNL116W"
"1770510_at"	"YLR233C"
"1770512_at"	"YKR050W"
"1770513_at"	"YPL033C"
"1770514_at"	"YDL112W"
"1770515_x_at"	"YLR461W"
"1770517_at"	"YPL034W"
"1770518_at"	"YDL103C"
"1770519_at"	"YHL018W"
"1770527_at"	"YFR048W"
"1770529_at"	"YOL032W"
"1770532_at"	"YLR303W"
"1770534_at"	"YJL100W"
"1770535_at"	"YCR042C"
"1770536_at"	"YGL001C"
"1770538_at"	"YPR200C"
"1770539_at"	"YLR387C"
"1770540_at"	"YJL068C"
"1770542_at"	"YJL158C"
"1770543_at"	"YCR023C"
"1770548_at"	"YMR279C"
"1770549_at"	"YDL057W"
"1770551_at"	"YGL038C"
"1770554_at"	"YML117W"
"1770556_at"	"YLL038C"
"1770558_at"	"YDL105W"
"1770559_at"	"YBR217W"
"1770562_at"	"YGR024C"
"1770565_at"	"YDR127W"
"1770566_at"	"YOR028C"
"1770567_at"	"YLR265C"
"1770569_at"	"YKR057W"
"1770571_at"	"YNR043W"
"1770572_at"	"YMR237W"
"1770575_at"	"YDR400W"
"1770576_at"	"YPL036W"
"1770577_at"	"YGR085C"
"1770578_at"	"YFR050C"
"1770580_at"	"YCR010C"
"1770583_at"	"YDR353W"
"1770584_at"	"YOR125C"
"1770587_at"	"YLR307C-A"
"1770589_at"	"YOR252W"
"1770590_at"	"YGL108C"
"1770592_at"	"YJL089W"
"1770593_at"	"YMR265C"
"1770594_at"	"YDR404C"
"1770597_at"	"YKL027W"
"1770599_at"	"YKL074C"
"1770603_at"	"YPL189W"
"1770604_at"	"YBR112C"
"1770607_at"	"YLR336C"
"1770610_at"	"YBR022W"
"1770611_at"	"YBR251W"
"1770612_at"	"YGR148C"
"1770615_at"	"YBR291C"
"1770622_at"	"YAR014C"
"1770623_at"	"YPL134C"
"1770624_at"	"YGR078C"
"1770625_x_at"	"YNR072W"
"1770626_at"	"YGR092W"
"1770628_at"	"YLR018C"
"1770632_at"	"YAL044C"
"1770634_at"	"YJR074W"
"1770635_at"	"YCR017C"
"1770636_at"	"YGL240W"
"1770637_at"	"YKR044W"
"1770639_at"	"YFR045W"
"1770640_at"	"YCR014C"
"1770645_at"	"YPR175W"
"1770650_at"	"YDR540C"
"1770651_at"	"YBR296C-A"
"1770653_at"	"YGR214W"
"1770656_at"	"YBR053C"
"1770659_at"	"YPL017C"
"1770660_at"	"YDR397C"
"1770662_at"	"YJR014W"
"1770666_at"	"YHR040W"
"1770668_at"	"YJR079W"
"1770671_at"	"YJL043W"
"1770672_at"	"YER123W"
"1770674_at"	"YDL044C"
"1770677_at"	"YCR063W"
"1770680_at"	"YGL169W"
"1770682_at"	"YDR345C"
"1770683_at"	"YDR489W"
"1770684_at"	"YLR026C"
